Designator,Mid X,Mid Y,Layer,Rotation
C1,137.9688,-96.0437,Bottom,0
C2,137.9688,-87.3125,Bottom,180
C3,120.0000,-80.9625,Bottom,180
C4,110.3312,-87.1688,Bottom,-90
C5,110.3312,-95.2500,Bottom,90
C6,128.5875,-98.2812,Bottom,90
C7,134.9375,-86.3750,Bottom,-90
D1,34.9250,-38.1000,Bottom,180
D2,60.3250,-35.7188,Bottom,90
D3,79.3750,-35.7812,Bottom,90
D4,98.4250,-35.7812,Bottom,90
D5,117.4750,-35.7188,Bottom,90
D6,136.5250,-35.7188,Bottom,90
D7,155.5750,-35.7812,Bottom,90
D8,174.6250,-35.7188,Bottom,90
D9,193.6750,-35.7188,Bottom,90
D10,212.7250,-35.7188,Bottom,90
D11,231.7750,-35.7188,Bottom,90
D12,234.9500,-35.7188,Bottom,90
D13,42.1313,-49.2125,Bottom,180
D14,65.0875,-54.7687,Bottom,90
D15,84.1375,-54.8312,Bottom,90
D16,103.1875,-54.8312,Bottom,90
D17,122.2375,-54.8312,Bottom,90
D18,141.2875,-54.8312,Bottom,90
D19,160.3375,-54.7687,Bottom,90
D20,179.3875,-54.8312,Bottom,90
D21,198.4375,-54.7687,Bottom,90
D22,217.4875,-54.8312,Bottom,90
D23,236.5375,-54.7687,Bottom,90
D24,46.0375,-73.8812,Bottom,90
D25,69.8500,-73.8812,Bottom,90
D26,88.9000,-73.8812,Bottom,90
D27,107.9500,-73.8812,Bottom,90
D28,127.0000,-73.8812,Bottom,90
D29,146.0500,-73.8187,Bottom,90
D30,165.1000,-73.8812,Bottom,90
D31,184.1500,-73.8812,Bottom,90
D32,203.2000,-73.8812,Bottom,90
D33,222.2500,-73.8812,Bottom,90
D34,241.3000,-73.8812,Bottom,90
D35,260.3500,-73.8812,Bottom,90
D36,55.5625,-92.8687,Bottom,90
D37,79.3750,-92.9312,Bottom,90
D38,160.3375,-92.9312,Bottom,90
D39,222.2500,-92.8687,Bottom,90
D40,246.0625,-92.8687,Bottom,90
F1,38.8937,-37.9125,Bottom,90
R1,48.4187,-38.2437,Bottom,90
R2,43.6562,-38.2437,Bottom,90
R3,41.2777,-38.2437,Bottom,90
R4,46.0375,-38.2437,Bottom,-90
SW1,61.9125,-26.9875,Bottom,0
U1,120.5062,-91.2750,Bottom,-90
Y1,138.0563,-91.5875,Bottom,90
J1,175.4187,-90.4875,Top,90
J2,44.7975,-23.05,Bottom,0
